Stimuli_ID	Vocalist_ID	Technique	Artist	Song	Lyrics	Duration	Tempo	Time_signature	Original_Corresponding_Excerpt	WAV_Path	Credits	Session_date_YMD	logMel_Path	Spectral_Centroid	Gender	Age_at_recording	band_url	annotations
STIM-182	A	Screaming_NV	The Black Dahlia Murder	The Fog	"""To think we toasted rye"""	2461.32	150	4/4	EXCE-182	static/triple_twelve/STIM-182.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-182.png	3146.239421	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-183	A	Screaming_V	The Black Dahlia Murder	The Fog	"""To think we toasted rye"""	3582.52	150	4/4	EXCE-182	static/triple_twelve/STIM-183.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-183.png	2509.335428	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-184	A	Growling_NV	Job for a Cowboy	Coalescing Prophecy	"""Have left behind the sign of the cross"""	2054.97	240	4/4	EXCE-148	static/triple_twelve/STIM-184.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-184.png	2759.219976	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-185	A	Growling_V	Job for a Cowboy	Coalescing Prophecy	"""Have left behind the sign of the cross"""	2879.27	240	4/4	EXCE-148	static/triple_twelve/STIM-185.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-185.png	2882.382378	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-186	A	Growling_NV	The Faceless	Ghost of a Stranger	"""what I have become"""	2171.07	210	4/4	EXCE-202	static/triple_twelve/STIM-186.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-186.png	2305.888047	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-187	A	Growling_V	The Faceless	Ghost of a Stranger	"""what I have become"""	1915.65	210	4/4	EXCE-202	static/triple_twelve/STIM-187.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-187.png	2207.171192	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-188	A	Growling_NV	Cannibal Corpse	Puncture Wound Massacre	"""Hate for them still drives my rage"""	1690.86	143	4/4	EXCE-006	static/triple_twelve/STIM-188.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-188.png	2840.816123	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-189	A	Growling_V	Cannibal Corpse	Puncture Wound Massacre	"""Hate for them still drives my rage"""	1962.09	143	4/4	EXCE-006	static/triple_twelve/STIM-189.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-189.png	2961.860747	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-190	A	Growling_NV	Whitechapel	Faces	"""The faces of justice"""	2890.88	220	4/4	EXCE-139	static/triple_twelve/STIM-190.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-190.png	3475.260927	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-191	A	Growling_V	Whitechapel	Faces	"""The faces of justice"""	2751.56	220	4/4	EXCE-139	static/triple_twelve/STIM-191.wav	Izzy Vincent	20250525	static/triple_twelve/logMel/STIM-191.png	3543.637602	Male		https://fadelessband.wixsite.com/fadelessband	
STIM-192	F	Growling_V	Incantation	Conquered God	"""Only to arise and prevail"""	7337.51	142	6/8	EXCE-032	static/triple_twelve/STIM-192.wav	Ahad Farooqui	20250511	static/triple_twelve/logMel/STIM-192.png	2440.155652	Male		https://open.spotify.com/artist/1g3TCyXjGgYTBLBUhSrOg5?si=OXM8TmRmRuSHRSUr5FV2Cw	"no melodic version for STIM-143, this is a substitute"
STIM-193	B	Clean	Metallica	ManUNkind	"""Frozen captive by the nights"""	3842.9	160	3/4	EXCE-121	static/triple_twelve/STIM-193.wav	Daniel Hoke Hosey III	20250506	static/triple_twelve/logMel/STIM-193.png	2388.783605	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-194	B	Clean_FLAT	Metallica	ManUNkind	"""Frozen captive by the nights"""	3552.65	160	3/4	EXCE-121	static/triple_twelve/STIM-194.wav	Daniel Hoke Hosey III	20250506	static/triple_twelve/logMel/STIM-194.png	2407.785805	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-195	B	Clean	We Came As Romans	"Views That Never Cease, to Keep Me From Myself"	"""I will wade through the worst of it all"""	4284.08	160	4/4	EXCE-197	static/triple_twelve/STIM-195.wav	Daniel Hoke Hosey III	20250506	static/triple_twelve/logMel/STIM-195.png	2033.288284	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-196	B	Clean_FLAT	We Came As Romans	"Views That Never Cease, to Keep Me From Myself"	"""I will wade through the worst of it all"""	4957.46	160	4/4	EXCE-197	static/triple_twelve/STIM-196.wav	Daniel Hoke Hosey III	20250506	static/triple_twelve/logMel/STIM-196.png	1612.319586	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
STIM-197	B	Clean	Avenged Sevenfold	Fermi Paradox	"""Heaven works on borrowed time"""	3738.41	150	4/4	EXCE-057	static/triple_twelve/STIM-197.wav	Daniel Hoke Hosey III	20250506	static/triple_twelve/logMel/STIM-197.png	2164.41049	Male		https://open.spotify.com/artist/1X5JBMNf6cgE6snRQX3fkK?si=4Anj9P0PR2eh8wobhwM4wQ	
